"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
144, 1.528971598060593e-01, -4.177159142581446e-02, 2.466767685278773e+05, 8.197202412484710e-02, 2.251491331043998e+00
145, 1.479181546188151e-01, -4.147209329032319e-02, 2.571797190319874e+05, 8.789522768008876e-02, 2.225482536443370e+00
146, 1.429409498710291e-01, -4.114405756017923e-02, 2.662994940872881e+05, 9.303838093111311e-02, 2.205656180901892e+00
147, 1.379656295532311e-01, -4.078855105501595e-02, 2.743288497524963e+05, 9.756658545838853e-02, 2.189682388938264e+00
148, 1.329919932014313e-01, -4.041018891241585e-02, 2.781216279899408e+05, 9.970554608011890e-02, 2.181693364286316e+00
149, 1.280197317508787e-01, -4.001415413950590e-02, 2.774162882423845e+05, 9.930776538994580e-02, 2.181542192241153e+00
150, 1.230483042769996e-01, -3.960775572456528e-02, 2.747446158064220e+05, 9.780105928246283e-02, 2.181795300283535e+00
151, 1.180765232417296e-01, -3.920573618291657e-02, 2.681959596975709e+05, 9.410790437986445e-02, 2.202245507672242e+00
152, 1.131360294035970e-01, -3.893346983081575e-02, 2.974231089307069e+05, 1.105907350072719e-01, 2.124700916633015e+00
153, 1.081761933891061e-01, -3.840416958634384e-02, 3.208463646419929e+05, 1.238004241751044e-01, 2.081148579495378e+00
154, 1.032164969925042e-01, -3.787343301028377e-02, 3.235033899516000e+05, 1.252988699455641e-01, 2.071584056853156e+00
155, 9.825732494276547e-02, -3.733783780308049e-02, 3.295685502408197e+05, 1.287193544060173e-01, 2.058063974318019e+00
156, 9.329915943697056e-02, -3.679300276024942e-02, 3.361622135287001e+05, 1.324378913841317e-01, 2.045422448899982e+00
157, 8.834246931252802e-02, -3.623491661211887e-02, 3.435406557127420e+05, 1.365990092490174e-01, 2.030789175174425e+00
158, 8.338796000251369e-02, -3.565780962708554e-02, 3.522131964559642e+05, 1.414899419581766e-01, 2.015253424045151e+00
159, 7.843699351236490e-02, -3.505112267234815e-02, 3.679609556584345e+05, 1.503709876470675e-01, 1.986518831058286e+00
160, 7.349286982708132e-02, -3.439122152406174e-02, 3.889328809481463e+05, 1.621982339420655e-01, 1.951485570844502e+00
161, 6.855769008168293e-02, -3.366739738602673e-02, 4.120191266593031e+05, 1.752178642469018e-01, 1.916540850382461e+00
162, 6.363194710593818e-02, -3.288191813604989e-02, 4.334079154167489e+05, 1.872802032592430e-01, 1.885550042225015e+00
163, 5.871631414670783e-02, -3.203546038196410e-02, 4.528125589608354e+05, 1.982235713712371e-01, 1.858626010946336e+00
164, 5.381060966379878e-02, -3.113319715086507e-02, 4.706347838281135e+05, 2.082745247347579e-01, 1.833862236233837e+00
165, 4.891347467864120e-02, -3.018548741980069e-02, 4.958054171109622e+05, 2.224696582346550e-01, 1.798684750554751e+00
166, 4.403197940705164e-02, -2.916060316316954e-02, 5.355221666098154e+05, 2.448681634682263e-01, 1.749578551345678e+00
167, 3.917351582424346e-02, -2.803163934318485e-02, 5.785606785621180e+05, 2.691399970742621e-01, 1.700261696179374e+00
168, 3.434084619555807e-02, -2.679687612579099e-02, 6.234917500041501e+05, 2.944791512483311e-01, 1.650717482780583e+00
169, 2.953783774054885e-02, -2.545180526815688e-02, 6.796421547272430e+05, 3.261455174521832e-01, 1.591227575035845e+00
170, 2.478799605429410e-02, -2.392987807318477e-02, 7.301349486829725e+05, 3.546212392558444e-01, 1.536312450692645e+00
171, 2.009643722797206e-02, -2.223661348502558e-02, 7.898134227962826e+05, 3.882772818984358e-01, 1.472519424611493e+00
172, 1.551032326400447e-02, -2.027947881766418e-02, 9.348621415022438e+05, 4.700783992117268e-01, 1.333486531749738e+00
173, 1.112795208286539e-02, -1.790061962824907e-02, 1.222729710969416e+06, 6.324230860918073e-01, 1.130560097419776e+00
174, 7.047201846685197e-03, -1.503797050344939e-02, 1.762672614237447e+06, 9.369272083394716e-01, 8.533427328900391e-01
175, 3.675123290736043e-03, -1.139161211788397e-02, 2.333358343423946e+06, 1.258768936406300e+00, 6.360936752698904e-01
